num_ebikes_available,num_docks_disabled,is_installed,num_bikes_disabled,is_returning,station_id,num_docks_available,num_scooters_unavailable,num_scooters_available,is_renting,num_bikes_available,timestamp,n_classic,n_electric,n_scooters
6,0,1,0,1,a3af2216-a135-11e9-9cda-0a87ae2ba916,2,1.0,0.0,1,8,06/20/2024 10:08 PM,2,6,0
1,0,1,2,1,a3a5b496-a135-11e9-9cda-0a87ae2ba916,4,0.0,0.0,1,9,06/20/2024 10:08 PM,8,1,0
1,0,1,1,1,1871991855517771832,13,0.0,0.0,1,1,06/20/2024 10:08 PM,0,1,0
5,0,1,3,1,a3aff616-a135-11e9-9cda-0a87ae2ba916,1,0.0,0.0,1,10,06/20/2024 10:08 PM,5,5,0
5,0,1,0,1,a3af5804-a135-11e9-9cda-0a87ae2ba916,4,0.0,0.0,1,7,06/20/2024 10:08 PM,2,5,0
0,0,1,1,1,a3a45e3b-a135-11e9-9cda-0a87ae2ba916,35,3.0,0.0,1,0,06/20/2024 10:08 PM,0,0,0
1,0,1,1,1,a3ad2843-a135-11e9-9cda-0a87ae2ba916,4,1.0,0.0,1,13,06/20/2024 10:08 PM,12,1,0
0,0,1,2,1,a3b0bd42-a135-11e9-9cda-0a87ae2ba916,7,0.0,0.0,1,6,06/20/2024 10:08 PM,6,0,0
0,0,1,1,1,a3ab8bee-a135-11e9-9cda-0a87ae2ba916,0,1.0,4.0,1,9,06/20/2024 10:08 PM,9,0,0
0,0,1,0,1,1866476559603607834,4,,,1,0,06/20/2024 10:08 PM,0,0,0
3,0,1,3,1,1936582264492460636,8,0.0,1.0,1,3,06/20/2024 10:08 PM,0,3,0
3,0,1,0,1,a3aa4f80-a135-11e9-9cda-0a87ae2ba916,0,0.0,0.0,1,15,06/20/2024 10:08 PM,12,3,0
1,0,1,2,1,a3b4728f-a135-11e9-9cda-0a87ae2ba916,2,0.0,1.0,1,6,06/20/2024 10:08 PM,5,1,1
1,0,1,0,1,a3ac7978-a135-11e9-9cda-0a87ae2ba916,4,1.0,1.0,1,6,06/20/2024 10:08 PM,5,1,1
